Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2020-12-01,38.0,38.0,38.0,38.0,,0.0,0.0,,,
2020-11-30,36.6,38.0,36.6,38.0,,25.0,915.0,,,
2020-11-27,35.65,37.2,35.65,36.5,,180.0,6635.0,,,
2020-11-26,38.75,38.75,35.7,35.7,,211.0,7687.7,,,
2020-11-25,36.6,39.05,36.6,38.75,,200.0,7630.0,,,
2020-11-24,35.25,37.0,35.25,37.0,,589.0,21386.35,,,
2020-11-23,34.15,35.0,33.75,35.0,,10.0,337.5,,,
2020-11-20,33.85,34.15,33.85,34.15,,0.0,0.0,,,
2020-11-19,35.25,35.25,33.85,33.85,,200.0,6910.0,,,
2020-11-18,34.2,35.25,34.2,35.25,,0.0,0.0,,,
2020-11-17,34.55,34.55,34.15,34.15,,400.0,13800.0,,,
2020-11-16,32.55,34.55,32.55,34.5,,100.0,3455.0,,,
2020-11-13,31.7,32.55,31.7,32.55,,30.0,975.0,,,
2020-11-12,30.55,31.75,30.55,31.7,,0.0,0.0,,,
2020-11-11,30.85,31.6,29.25,31.0,,1495.0,45926.0,,,
2020-11-10,30.8,30.85,30.1,30.85,,30.0,903.0,,,
2020-11-09,31.5,31.5,30.2,30.4,,232.0,7048.0,,,
2020-11-06,30.0,30.0,30.0,30.0,,0.0,0.0,,,
2020-11-05,30.05,30.05,30.0,30.0,,0.0,0.0,,,
2020-11-04,29.3,30.05,29.3,30.05,,0.0,0.0,,,
2020-11-03,29.95,30.25,29.95,30.25,,0.0,0.0,,,
2020-11-02,29.15,29.15,29.05,29.1,,0.0,0.0,,,
2020-10-30,29.85,29.85,29.05,29.15,,100.0,2985.0,,,
2020-10-29,29.9,29.9,29.1,29.15,,134.0,3974.5,,,
2020-10-28,30.0,30.5,29.9,29.9,,250.0,7500.0,,,
2020-10-27,31.4,31.4,30.5,30.5,,52.0,1624.3,,,
2020-10-26,31.55,31.55,31.35,31.4,,0.0,0.0,,,
2020-10-23,30.5,31.05,30.5,31.05,,0.0,0.0,,,
2020-10-22,31.05,31.05,30.5,30.5,,4.0,122.0,,,
2020-10-21,31.5,31.5,31.05,31.05,,0.0,0.0,,,
2020-10-19,33.6,33.6,31.9,31.95,,334.0,10962.8,,,
2020-10-16,31.45,32.75,31.45,32.7,,34.0,1093.8,,,
2020-10-15,34.25,34.25,31.9,32.3,,355.0,11608.25,,,
2020-10-14,34.25,34.25,34.25,34.25,,0.0,0.0,,,
2020-10-13,35.0,35.0,34.3,34.3,,5.0,172.25,,,
2020-10-12,34.9,35.5,34.9,35.05,,370.0,13015.0,,,
2020-10-09,35.3,35.3,35.1,35.15,,10.0,351.5,,,
2020-10-08,33.6,35.6,33.6,35.6,,40.0,1354.0,,,
2020-10-07,33.45,33.65,33.45,33.65,,0.0,0.0,,,
2020-10-06,32.3,33.05,32.3,33.05,,3.0,98.7,,,
2020-10-05,32.65,32.75,32.6,32.75,,0.0,0.0,,,
2020-10-02,32.65,32.65,31.55,32.3,,31.0,1001.3,,,
2020-10-01,31.5,32.65,31.5,32.65,,0.0,0.0,,,
2020-09-30,31.5,31.5,31.5,31.5,,0.0,0.0,,,
2020-09-29,31.55,31.55,31.5,31.5,,0.0,0.0,,,
2020-09-28,31.6,31.6,31.55,31.55,,0.0,0.0,,,
2020-09-25,31.5,31.6,31.25,31.6,,4.0,126.0,,,
2020-09-24,31.65,31.65,31.5,31.5,,0.0,0.0,,,
2020-09-23,32.1,32.1,31.5,31.65,,290.0,9165.0,,,
2020-09-22,31.5,31.55,31.5,31.55,,37.0,1167.35,,,
2020-09-21,30.3,31.45,30.05,31.45,,12.0,363.6,,,
2020-09-18,32.9,32.9,30.3,30.3,,0.0,0.0,,,
2020-09-17,33.6,34.15,33.6,34.15,,0.0,0.0,,,
2020-09-16,33.7,33.7,33.55,33.6,,0.0,0.0,,,
2020-09-15,34.7,34.7,34.3,34.45,,0.0,0.0,,,
2020-09-14,34.45,35.0,34.25,34.25,,0.0,0.0,,,
2020-09-11,34.7,34.7,34.35,34.45,,0.0,0.0,,,
2020-09-10,34.85,35.0,34.35,35.0,,200.0,7000.0,,,
2020-09-09,34.55,35.0,34.55,34.85,,232.0,8088.5,,,
2020-09-08,34.2,34.75,34.2,34.75,,0.0,0.0,,,
2020-09-07,33.55,34.25,33.55,34.25,,0.0,0.0,,,
2020-09-04,34.15,34.45,34.15,34.4,,0.0,0.0,,,
2020-09-03,34.25,34.4,34.25,34.4,,70.0,2408.0,,,
2020-09-02,33.55,34.7,33.55,34.25,,100.0,3462.5,,,
2020-09-01,33.8,34.3,33.5,33.5,,110.0,3765.5,,,
2020-08-31,33.1,33.35,32.5,33.3,,50.0,1667.5,,,
2020-08-28,33.75,33.75,33.1,33.1,,0.0,0.0,,,
2020-08-27,33.05,34.1,33.0,33.75,,2664.0,89729.8,,,
2020-08-26,33.5,34.15,32.85,33.4,,5208.0,174085.95,,,
2020-08-25,33.35,34.35,32.95,33.3,,5361.0,181040.7,,,
2020-08-24,32.0,33.6,32.0,33.6,,3907.0,128590.9,,,
2020-08-21,33.1,33.25,32.0,32.25,,3822.0,124015.15,,,
2020-08-20,33.4,33.45,32.95,33.45,,1998.0,66140.55,,,
2020-08-19,34.0,34.0,33.3,33.65,,3065.0,102814.4,,,
2020-08-18,33.1,34.05,32.75,33.65,,4420.0,146512.4,,,
2020-08-17,33.45,33.75,33.1,33.1,,1901.0,63594.15,,,
2020-08-14,34.15,34.15,33.15,33.85,,1701.0,57156.85,,,
2020-08-13,33.55,34.25,33.55,33.95,,2145.0,72691.2,,,
2020-08-12,33.6,34.95,33.2,34.2,,10690.0,365352.75,,,
2020-08-11,32.9,34.5,32.9,34.2,,15328.0,517287.95,,,
2020-08-10,33.95,33.95,32.7,33.0,,5314.0,177102.05,,,
2020-08-07,33.15,33.6,32.15,33.6,,5581.0,183296.1,,,
2020-08-06,34.0,34.0,31.65,33.5,,13600.0,442978.9,,,
2020-08-05,31.9,32.95,31.85,32.95,,6691.0,218466.85,,,
2020-08-04,32.1,33.7,32.1,32.25,,7816.0,254644.95,,,
2020-08-03,32.1,32.9,31.5,32.25,,9157.0,294060.05,,,
